Epoch	Train Loss	Train Accuracy	Validation Loss	Validation Accuracy
1	1.7487		50.08		0.9217		72.33
2	0.7806		76.00		0.5778		82.35
3	0.4640		85.38		0.3483		89.00
4	0.3090		89.98		0.2497		92.01
5	0.2259		92.50		0.2278		92.78
6	0.1689		94.35		0.2060		93.54
7	0.1294		95.66		0.1845		93.96
8	0.1034		96.56		0.1568		95.05
9	0.0868		97.09		0.1949		94.20
10	0.0673		97.76		0.2078		93.85
